game_number,day,active_networks,last_day_networks,OML,OMH,OFL,OFH,YML,YMH,YFL,YFH,l1_price,l2_price,l3_price,l4_price,l5_price,l6_price,l7_price
155,40,3,1,3,1,1,0,5,4,1,1,4.238303605464591E-5,3.6082252161413563E-4,1.0E-9,0.1913215201136666,0.032301116577969156,0.01,0.0
155,41,4,1,4,1,1,0,4,2,1,1,6.365606604112124E-5,1.8984676974727742E-4,1.0E-9,0.2,0.18706503788741136,0.032301116577969156,0.01
155,42,4,2,5,2,1,0,4,3,1,1,1.1477679840084606E-4,1.0E-9,1.0888376708700474E-4,0.2,0.032301116577969156,0.0258949802156472,0.01
155,43,4,0,3,2,0,0,2,3,0,1,1.2583495527276024E-4,1.2258552044847916E-4,1.0E-9,0.2,0.032301116577969156,0.022650857896924878,0.01
155,44,4,2,3,3,0,1,2,3,0,1,2.1192493049014408E-4,1.400587094420167E-4,1.0E-9,0.2,0.032301116577969156,0.01,0.0
155,45,3,1,1,2,0,1,2,2,0,1,1.7794608370101707E-4,1.5589024566379505E-4,1.0E-9,0.032301116577969156,0.01,0.0,0.0
155,46,3,1,0,2,0,1,2,2,0,1,1.93859472129772E-4,1.4991185474258852E-4,1.0E-9,0.02691759714830763,0.01,0.0,0.0
155,47,4,1,0,1,0,0,3,3,0,1,1.93859472129772E-4,1.4416273511321025E-4,1.0E-9,0.175,0.022431330956923026,0.01,0.0
155,48,3,1,0,1,0,0,3,3,0,1,8.268237428315503E-5,5.846482872625373E-5,1.0E-9,0.022431330956923026,0.01,0.0,0.0
155,49,4,1,0,2,0,1,3,3,0,1,8.375724514883604E-5,6.765220824280109E-5,1.0E-9,0.018692775797435855,0.01,0.0,0.0
155,50,4,1,1,3,0,1,3,4,0,1,8.48460893357709E-5,7.934643840442989E-5,1.0E-9,0.01557731316452988,0.01,0.0,0.0
155,51,4,1,2,3,1,1,2,4,0,1,9.443367784625856E-5,4.0174623300487516E-5,1.0E-9,0.11772047849927889,0.0129810943037749,0.01,0.0
